순번(No),시설물명,시설물구분,시설물종류,종별,관리주체구분,항목명,위치
165,별망지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 150.0 m, 차로수 : 4",경기도 안산시
166,본오지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 430.0 m, 차로수 : 4",경기도 안산시
167,수인선지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 322.0 m, 차로수 : 4",경기도 안산시
168,신길지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 176.0 m, 차로수 : 4",경기도 안산시
169,원곡지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 165.0 m, 차로수 : 4",경기도 안산시
170,중앙지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 240.0 m, 차로수 : 6",경기도 안산시
171,초지역지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 200.0 m, 차로수 : 6",경기도 안산시
172,호수공원지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 186.0 m, 차로수 : 4",경기도 안산시
173,안성복합유통시설(스타필드)지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 558.0 m, 차로수 : 1",경기도 안성시
174,범계지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 160.0 m, 차로수 : 4",경기도 안양시
175,비산지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 240.0 m, 차로수 : 6",경기도 안양시
176,일번가 지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 177.0 m, 차로수 : 2",경기도 안양시
177,호계지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 250.0 m, 차로수 : 4",경기도 안양시
178,김삿갓지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 243.0 m, 차로수 : 4",경기도 양주시
179,옥정지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 481.0 m, 차로수 : 4",경기도 양주시
180,물향기지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 170.0 m, 차로수 : 4",경기도 오산시
181,병점차량기지(서동탄역) 지하차도,터널,지하차도,2종,공공,"형식 : 미등록 / 연장 : 280.0 m, 차로수 : 2",경기도 오산시
182,세교지하차도,터널,지하차도,2종,민간,"형식 : 박스형 / 연장 : 100.0 m, 차로수 : 4",경기도 오산시
183,세마지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 160.0 m, 차로수 : 4",경기도 오산시
184,강남대지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 140.0 m, 차로수 : 5",경기도 용인시
185,공세지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 220.0 m, 차로수 : 2",경기도 용인시
186,금광 지하차도,터널,지하차도,2종,민간,"형식 : 박스형 / 연장 : 465.0 m, 차로수 : 6",경기도 용인시
187,동백지하차도(지하차도 #1),터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 130.0 m, 차로수 : 4",경기도 용인시
188,삼막곡 제1지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 455.0 m, 차로수 : 6",경기도 용인시
189,서천지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 372.0 m, 차로수 : 4",경기도 용인시
190,성복지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 367.0 m, 차로수 : 4",경기도 용인시
191,성산지하차도(지하차도#3),터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 410.0 m, 차로수 : 2",경기도 용인시
192,수성지하차도(지하차도 #2),터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 170.0 m, 차로수 : 4",경기도 용인시
193,신일지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 230.0 m, 차로수 : 6",경기도 용인시
194,은목지하차도(지하차도#4),터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 170.0 m, 차로수 : 4",경기도 용인시
195,초당지하차도(지하차도#5),터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 170.0 m, 차로수 : 4",경기도 용인시
196,하동IC램프2,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 102.0 m, 차로수 : 2",경기도 용인시
197,화운사생태터널,터널,지하차도,2종,민간,"형식 : 파형강판 / 연장 : 310.0 m, 차로수 : 4",경기도 용인시
198,흥덕지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 388.2 m, 차로수 : 2",경기도 용인시
