"DST_YR","DST_TYPE_CD","DST_SN","RGN_CD","FLDN_SITU_SN","FLDN_BGNG_DT","FLSU_EXPC_DT","FLDN_HR_HR","FLDN_HR_MIN","FLDN_BFR_AREA","FLDN_RCFILD_AREA","FLDN_CTY_AREA","FLDN_BLDG_VILAGE_CNT","FLSU_BFR_AREA","FLSU_RCFILD_AREA","FLSU_CTY_AREA","FLSU_BLDG_VILAGE_CNT","DAM_DT","DAM_RGN_DONG_CD","DAM_RGN_DADDR","DAM_FACTR_CD","VLD_DTIN_SE","WRTR_ID","WRT_DT","MDFR_ID","MDFCN_DT","MAAS_OBNT_DT"
"재해연도","재해유형코드","재해일련번호","지역코드","침수상황일련번호","침수시작일시","퇴수예상일시","침수시간시간","침수시간분","침수전면적","침수답면적","침수도시면적","침수건물동수","퇴수전면적","퇴수답면적","퇴수도시면적","퇴수건물동수","피해일시","피해지역행정동코드","피해지역상세주소","피해요인코드","유효데이터구분","작성자아이디","작성일시","수정자아이디","수정일시","행정안전부입수일시"
"2012","001010","20","4137000000","1","2012/07/27 14:30:00","2012/07/27 15:30:00","1","0","0","0","0.2","0","0","0","0","0","2012/08/01 18:22:00","4137053000","55-1","018001","V","4137009001","2012/08/01 18:23:00","4137009001","2012/08/01 18:23:00","2012/08/01 23:32:59"
"2012","001010","25","4521000000","1","2012/08/16 09:58:00","2012/08/16 09:58:00","0","0","0","1","0","0","0","0","0","0","2012/08/16 09:58:00","4521051000","","018001","U","4521011001","2012/08/16 09:58:00","4521011001","2012/08/16 09:59:00","2012/08/16 23:52:41"
"2012","001010","25","4521000000","2","2012/08/16 09:58:00","2012/08/16 09:58:00","0","0","0","1","0","0","0","0","0","0","2012/08/16 09:58:00","4521051000","","018001","D","4521011001","2012/08/16 09:59:00","4521011001","2012/08/16 09:59:00","2012/08/16 23:52:41"
"2012","001010","25","4480000000","1","2012/08/15 20:00:00","2012/08/16 14:00:00","18","0","0","10","0","0","0","0","0","0","2012/08/15 23:00:00","4480034000","","018001","U","hyoju155","2012/08/16 17:32:00","hyoju155","2012/08/17 09:32:00","2012/08/18 00:12:57"
"2012","001010","25","4480000000","2","2012/08/15 20:00:00","2012/08/16 14:00:00","18","0","0","10","0","0","0","10","0","0","2012/08/15 23:00:00","4480034000","","018001","V","hyoju155","2012/08/17 09:32:00","hyoju155","2012/08/17 09:32:00","2012/08/18 00:12:57"
"2012","001010","25","4480000000","3","2012/08/15 20:00:00","2012/08/16 17:00:00","21","0","0","4.8","0","0","0","4.8","0","0","2012/08/15 20:00:00","4480035000","","018001","V","hyoju155","2012/08/17 09:33:00","hyoju155","2012/08/17 09:33:00","2012/08/18 00:12:57"
"2012","001010","24","4481000000","1","2012/08/13 01:00:00","2012/08/13 06:00:00","5","0","0","0.2","0","0","0","0","0","0","2012/08/13 02:00:00","4481040000","210번지","018001","U","ppark9058","2012/08/17 15:10:00","ppark9058","2012/08/17 15:12:00","2012/08/18 00:12:57"
"2012","001010","24","4481000000","2","2012/08/13 01:00:00","2012/08/13 06:00:00","5","0","0","0.2","0","0","0","0","0","0","2012/08/13 02:00:00","4481040000","210번지","018001","U","ppark9058","2012/08/17 15:12:00","ppark9058","2012/08/17 15:15:00","2012/08/18 00:12:57"
"2012","001010","24","4481000000","4","2012/08/13 01:00:00","2012/08/13 06:00:00","5","0","0","0.18","0","0","0","0.11","0","0","2012/08/13 02:00:00","4481040000","210번지","018001","U","ppark9058","2012/08/17 15:16:00","ppark9058","2012/08/17 15:28:00","2012/08/18 00:12:57"
"2012","001010","24","4481000000","5","2012/08/13 01:00:00","2012/08/13 06:00:00","5","0","0","0.18","0","0","0","0.11","0","0","2012/08/13 02:00:00","4481040000","210번지","018001","D","ppark9058","2012/08/17 15:28:00","ppark9058","2012/08/17 15:28:00","2012/08/18 00:12:57"
"2012","001010","25","4479000000","1","2012/08/15 16:58:00","2012/08/16 16:58:00","24","0","1.9","35","0","0","1.9","35","0","0","2012/08/16 16:58:00","4479025000","","018001","V","4479021001","2012/08/17 16:59:00","4479021001","2012/08/17 16:59:00","2012/08/18 00:12:57"
"2012","001010","25","4479000000","2","2012/08/15 16:59:00","2012/08/16 16:59:00","24","0","0.5","8","0","0","0.5","8","0","0","2012/08/16 16:59:00","4479031000","","018001","V","4479021001","2012/08/17 17:00:00","4479021001","2012/08/17 17:00:00","2012/08/18 00:12:57"
"2012","001010","25","4479000000","3","2012/08/15 17:00:00","2012/08/16 17:00:00","24","0","19.5","22","0","0","19.5","22","0","0","2012/08/16 17:00:00","4479032000","","018001","V","4479021001","2012/08/17 17:01:00","4479021001","2012/08/17 17:01:00","2012/08/18 00:12:57"
"2012","001010","25","4479000000","4","2012/08/15 17:01:00","2012/08/16 17:01:00","24","0","0.45","1.3","0","0","0.45","1.3","0","0","2012/08/16 17:01:00","4479033000","","018001","V","4479021001","2012/08/17 17:02:00","4479021001","2012/08/17 17:02:00","2012/08/18 00:12:57"
"2012","001010","25","4479000000","5","2012/08/15 17:02:00","2012/08/16 17:02:00","24","0","0.2","5","0","0","0.2","5","0","0","2012/08/16 17:02:00","4479034000","","018001","V","4479021001","2012/08/17 17:02:00","4479021001","2012/08/17 17:02:00","2012/08/18 00:12:57"
"2012","001010","25","4479000000","6","2012/08/15 17:02:00","2012/08/16 17:02:00","24","0","0.13","0.16","0","0","0.13","0.16","0","0","2012/08/16 17:02:00","4479036000","","018001","V","4479021001","2012/08/17 17:04:00","4479021001","2012/08/17 17:04:00","2012/08/18 00:12:57"
"2012","001010","25","4479000000","7","2012/08/15 17:04:00","2012/08/16 17:04:00","24","0","0.24","17","0","0","0.24","17","0","0","2012/08/16 17:04:00","4479037000","","018001","V","4479021001","2012/08/17 17:05:00","4479021001","2012/08/17 17:05:00","2012/08/18 00:12:57"
"2012","001010","25","4479000000","8","2012/08/15 17:05:00","2012/08/16 17:05:00","24","0","0","32","0","0","0","32","0","0","2012/08/16 17:05:00","4479038000","","018001","V","4479021001","2012/08/17 17:05:00","4479021001","2012/08/17 17:05:00","2012/08/18 00:12:57"
"2012","001010","25","4479000000","9","2012/08/15 17:05:00","2012/08/16 17:05:00","24","0","0","30","0","0","0","30","0","0","2012/08/16 17:05:00","4479039000","","018001","V","4479021001","2012/08/17 17:06:00","4479021001","2012/08/17 17:06:00","2012/08/18 00:12:57"
"2012","001010","25","1111000000","1","2012/08/17 17:40:00","2012/08/17 18:40:00","1","0","0","0","10","0","0","0","5","0","2012/08/17 17:40:00","1111051000","100-1","018001","U","1111191001","2012/08/17 17:46:00","1111191001","2012/08/17 17:46:00","2012/08/18 00:12:57"
"2012","001010","25","1111000000","2","2012/08/17 17:40:00","2012/08/17 18:40:00","1","0","0","0","10","0","0","0","10","0","2012/08/17 17:40:00","1111051000","100-1","018001","U","1111191001","2012/08/17 17:46:00","1111191001","2012/08/17 17:47:00","2012/08/18 00:12:57"
"2012","001010","25","1111000000","3","2012/08/17 17:40:00","2012/08/17 18:40:00","1","0","0","0","10","0","0","0","10","0","2012/08/17 17:40:00","1111051000","100-1","018001","D","1111191001","2012/08/17 17:47:00","1111191001","2012/08/17 17:47:00","2012/08/18 00:12:57"
"2012","001010","28","4910200000","1","2012/08/20 04:33:00","2012/08/23 17:00:00","84","27","0","0","0","0","0","0","0","0","2012/08/21 16:00:00","4910251000","255-1","018001","U","4910220021","2012/08/30 18:08:00","4910220021","2012/08/31 11:12:00","2012/08/31 23:32:24"
"2012","001010","28","4910200000","2","2012/08/20 04:33:00","2012/08/23 17:00:00","84","27","0","0","0","0","0","0","0","0","2012/08/21 16:00:00","4910251000","255-1","018001","D","4910220021","2012/08/31 11:12:00","4910220021","2012/08/31 11:12:00","2012/08/31 23:32:24"
"2012","001001","5","4874000000","13","2012/09/17 08:00:00","2012/09/19 08:00:00","48","0","0","25","0","0","0","25","0","0","2012/09/17 08:00:00","4874040000","","018001","V","niceyuvi","2012/09/19 12:37:00","niceyuvi","2012/09/19 12:37:00","2012/09/19 23:22:48"
"2012","001001","5","4874000000","14","2012/09/17 08:00:00","2012/09/19 08:00:00","48","0","3","22.2","0","0","3","22.2","0","0","2012/09/17 08:00:00","4874041000","","018001","V","niceyuvi","2012/09/19 12:38:00","niceyuvi","2012/09/19 12:38:00","2012/09/19 23:22:48"
"2012","001001","5","4874000000","15","2012/09/17 08:00:00","2012/09/19 08:00:00","48","0","0","0.2","0","0","0","0.2","0","0","2012/09/17 08:00:00","4874031000","","018001","V","niceyuvi","2012/09/19 12:38:00","niceyuvi","2012/09/19 12:38:00","2012/09/19 23:22:48"
"2012","001001","5","4874000000","16","2012/09/17 08:00:00","2012/09/19 08:00:00","48","0","0","4.5","0","0","0","4.5","0","0","2012/09/17 08:00:00","4874033000","","018001","V","niceyuvi","2012/09/19 12:39:00","niceyuvi","2012/09/19 12:39:00","2012/09/19 23:22:48"
"2012","001001","5","4874000000","18","2012/09/17 08:00:00","2012/09/19 08:00:00","48","0","0","22.8","0","0","0","22.8","0","0","2012/09/17 08:00:00","4874034000","","018001","U","niceyuvi","2012/09/19 12:40:00","niceyuvi","2012/09/19 12:42:00","2012/09/19 23:22:48"
